Player,Total_Titles,Total_Titles_Text,GS,GS_Text,ATP1000,ATP Finale,Olympics,ATP1000+Finale,ATP1000+Finale_Text,WR,W,Matches
Novak Djokovic,65,21 + 38 + 6 + 0,21,9 + 7 + 2 + 3,38,6,0,44,38 + 6,0.8319579894973743,1109,1333
Rafael Nadal,59,22 + 36 + 0 + 1,22,2 + 2 + 14 + 4,36,0,1,36,36 + 0,0.8237384506041222,1159,1407
Roger Federer,54,20 + 28 + 6 + 0,20,6 + 8 + 1 + 5,28,6,0,34,28 + 6,0.8153067678684377,1289,1581
Andre Agassi,27,8 + 17 + 1 + 1,8,4 + 1 + 1 + 2,17,1,1,18,17 + 1,0.7607204116638079,887,1166
Pete Sampras,30,14 + 11 + 5 + 0,14,2 + 7 + 0 + 5,11,5,0,16,11 + 5,0.767,767,1000
Andy Murray,20,3 + 14 + 1 + 2,3,0 + 2 + 0 + 1,14,1,2,15,14 + 1,0.7521047708138447,804,1069
Thomas Muster,8,1 + 7 + 0 + 0,1,0 + 0 + 1 + 0,7,0,0,7,7 + 0,0.6835699797160243,674,986
Michael Chang,8,1 + 7 + 0 + 0,1,0 + 0 + 1 + 0,7,0,0,7,7 + 0,0.6782178217821783,685,1010
Alexander Zverev,8,0 + 5 + 2 + 1,0,0 + 0 + 0 + 0,5,2,1,7,5 + 2,0.6694352159468439,403,602
Gustavo Kuerten,9,3 + 5 + 1 + 0,3,0 + 0 + 3 + 0,5,1,0,6,5 + 1,0.6368794326241135,449,705
