Player,Total_Titles,Total_Titles_Text,GS,GS_Text,ATP1000,ATP Finale,Olympics,ATP1000+Finale,ATP1000+Finale_Text,WR,W,Matches
Novak Djokovic,67,23 + 38 + 6 + 0,23,10 + 7 + 3 + 3,38,6,0,44,38 + 6,0.8328445747800587,1136,1364
Rafael Nadal,59,22 + 36 + 0 + 1,22,2 + 2 + 14 + 4,36,0,1,36,36 + 0,0.8221119773210489,1160,1411
Bjorn Borg,11,11 + 0 + 0 + 0,11,0 + 5 + 6 + 0,0,0,0,0,0 + 0,0.8175,654,800
Ivan Lendl,8,8 + 0 + 0 + 0,8,2 + 0 + 3 + 3,0,0,0,0,0 + 0,0.8160484481453444,1078,1321
Roger Federer,54,20 + 28 + 6 + 0,20,6 + 8 + 1 + 5,28,6,0,34,28 + 6,0.8153067678684377,1289,1581
John Mcenroe,7,7 + 0 + 0 + 0,7,0 + 3 + 0 + 4,0,0,0,0,0 + 0,0.8150873965041399,886,1087
Jimmy Connors,8,8 + 0 + 0 + 0,8,1 + 2 + 0 + 5,0,0,0,0,0 + 0,0.8089816571790006,1279,1581
Carlos Alcaraz,5,1 + 4 + 0 + 0,1,0 + 0 + 0 + 1,4,0,0,4,4 + 0,0.7865612648221344,199,253
Frank Parker,4,4 + 0 + 0 + 0,4,0 + 0 + 2 + 2,0,0,0,0,0 + 0,0.7786259541984732,102,131
Rod Laver,11,11 + 0 + 0 + 0,11,3 + 4 + 2 + 2,0,0,0,0,0 + 0,0.7776606954689147,1476,1898
